date,soh_percent,charging_type,temperature_c,voltage_v,cycle_count,anomaly
2024-05-12,89.85,0,27.9,368.0,133,0
2024-05-13,89.79,0,17.5,394.4,134,0
2024-05-14,89.65,0,20.9,392.5,135,0
2024-05-15,89.6,0,16.5,401.8,136,0
2024-05-16,89.51,1,24.5,413.2,137,0
2024-05-17,89.41,1,32.6,406.0,138,0
2024-05-18,89.34,0,17.1,392.0,139,0
2024-05-19,89.2,0,29.0,383.5,140,0
2024-05-20,89.05,0,20.8,420.3,141,0
2024-05-21,89.01,0,18.7,395.1,142,0
2024-05-22,88.93,0,24.1,394.6,143,0
2024-05-23,88.88,0,16.7,394.2,144,0
2024-05-24,88.83,0,20.6,396.4,145,0
2024-05-25,88.81,1,15.4,393.0,146,0
2024-05-26,88.72,1,40.7,388.6,147,0
2024-05-27,88.64,0,25.3,388.8,148,0
2024-05-28,88.62,0,19.4,394.0,149,0
2024-05-29,88.57,1,26.7,362.9,150,1
2024-05-30,88.43,0,24.1,387.1,151,0
2024-05-31,88.39,1,23.2,360.5,152,1
2024-06-01,88.36,1,29.9,391.6,153,0
2024-06-02,88.28,0,31.1,409.2,154,0
2024-06-03,88.13,0,20.8,367.6,155,0
2024-06-04,88.09,1,20.4,405.0,156,0
2024-06-05,87.98,0,22.8,406.5,157,0
2024-06-06,87.87,0,6.6,373.2,158,0
2024-06-07,87.82,1,12.9,390.5,159,0
2024-06-08,87.71,0,35.9,390.1,160,0
2024-06-09,87.65,0,38.2,379.8,161,0
2024-06-10,87.55,1,23.0,386.0,162,0
2024-06-11,87.45,0,29.6,382.6,163,0
2024-06-12,87.37,0,27.5,411.2,164,0
2024-06-13,87.35,1,49.6,403.0,165,0
2024-06-14,87.22,0,34.0,406.3,166,0
2024-06-15,87.16,1,24.0,400.8,167,0
2024-06-16,87.13,1,17.4,382.3,168,0
2024-06-17,87.11,0,12.1,388.3,169,0
2024-06-18,87.02,0,26.6,398.4,170,0
2024-06-19,86.91,0,18.9,381.2,171,0
2024-06-20,86.9,0,13.6,400.6,172,0
2024-06-21,86.82,0,19.8,391.0,173,0
2024-06-22,86.78,1,16.3,389.6,174,0
2024-06-23,86.68,0,38.5,400.4,175,0
2024-06-24,86.64,0,32.1,397.8,176,0
2024-06-25,86.54,1,24.9,389.7,177,0
2024-06-26,86.47,0,36.8,404.8,178,0
2024-06-27,86.33,1,25.6,382.4,179,0
2024-06-28,86.3,0,18.1,399.3,180,0
2024-06-29,86.24,0,37.2,399.1,181,0
2024-06-30,86.22,1,29.3,390.0,182,0
2024-07-01,86.08,1,16.7,396.3,183,0
2024-07-02,85.95,1,23.5,380.5,184,0
2024-07-03,85.9,1,18.0,402.2,185,0
2024-07-04,85.8,1,13.9,391.1,186,0
2024-07-05,85.67,0,32.4,387.6,187,0
2024-07-06,85.59,0,40.3,403.3,188,0
2024-07-07,85.5,1,13.8,385.7,189,0
2024-07-08,85.46,1,29.5,378.6,190,0
2024-07-09,85.44,1,19.8,377.2,191,0
2024-07-10,85.3,0,21.1,398.7,192,0
2024-07-11,85.16,0,20.3,379.8,193,0
2024-07-12,85.06,1,18.1,410.1,194,0
2024-07-13,85.01,0,25.4,371.7,195,0
2024-07-14,84.95,1,18.4,409.4,196,0
2024-07-15,84.84,1,27.2,394.5,197,0
2024-07-16,84.7,0,24.6,391.4,198,0
2024-07-17,84.57,1,23.1,386.8,199,0
2024-07-18,84.45,1,17.7,396.2,200,0
